Latitude,Longitude,Nfloors,BldgHeight,ConsYear
41.878925, -87.635963, 108, 1730, 1974
36.153873, -95.992188, 23, 324, 1983
22.279215, 114.161552, 72, 1205, 1990
40.712082, -74.013214, 110, 1728, 1972
41.888855, -87.626457, 98, 1389, 2009
41.898827, -87.623199, 100, 1500, 1969
40.748367, -73.985619, 102, 350, 1931
41.888363, -87.6353, 25, 340, 1931
40.710968, -74.013123, 110, 1363, 1973
41.885246, -87.621521, 83, 1136, 1973
41.88541, -87.622704, 64, 995, 1990
41.877422, -87.635597, 65, 961, 1990
43.648838, -79.381744, 71, 1165, 1975
41.880405, -87.634766, 60, 1007, 1989
40.713692, -74.002487, 37, 590, 1936
40.746441, -73.940536, 28, 308, 2015
41.897842, -87.622284, 74, 859, 1976
41.881607, -87.630127, 60, 850, 1969
41.897038, -87.625183, 67, 844, 2000
34.05101, -118.25444, 71, 1018, 1990
47.604561, -122.330666, 76, 967, 1985
29.760345, -95.363983, 75, 1002, 1982
33.770813, -84.386131, 55, 1023, 1992
35.22731, -80.842125, 60, 871, 1992
38.625446, -90.196945, 28, 557, 2000
41.891476, -87.612297, 69, 645, 1968
40.751583, -73.975388, 77, 1046, 1930
28.548206, -81.377556, 24, 416, 1997
28.539968, -81.379463, 31, 441, 1988
38.889774, -77.009033, 3, 288, 1863
36.09539, -80.243973, 34, 460, 1995
32.784683, -96.802567, 63, 720, 1986
1.284708, 103.851028, 63, 919, 1986
39.747726, -104.98777, 43, 545, 1985
30.319349, -81.65667, 28, 432, 1967
32.787823, -96.796661, 55, 738, 1987
36.147491, -115.155556, 12, 1149, 1996
29.758492, -95.368355, 71, 992, 1983
40.801243, -73.959244, 22, 247, 2014
40.706375, -74.007507, 67, 952, 1932
41.501003, -81.693871, 57, 947, 1991
39.952545, -75.168121, 61, 945, 1987
32.779972, -96.80397, 72, 921, 1985
39.743523, -104.985451, 52, 705, 1983
39.747082, -104.990402, 42, 522, 1981
39.7491, -104.996269, 30, 407, 1985
47.605125, -122.329597, 62, 722, 1990
44.975975, -93.272499, 55, 910, 1973
42.734474, -84.553467, 14, 196, 1999
41.899578, -87.624855, 66, 871, 1989
47.61034, -122.332199, 56, 797, 1989
47.607101, -122.336044, 55, 772, 1988
41.885994, -87.623543, 46, 554, 1985
33.762688, -84.386528, 60, 902, 1992
29.737131, -95.46138, 64, 901, 1983
35.227547, -80.840797, 47, 659, 2002
35.223846, -80.844521, 42, 588, 1988
35.226601, -80.843277, 40, 503, 1974
40.752972, -73.9786, 58, 1401, 2020
34.048355, -118.461121, 25, 300, 1961
39.952755, -75.163513, 7, 548, 1901
40.764828, -73.979675, 60, 757, 1991
41.888195, -87.628471, 61, 588, 1962
41.88792, -87.629135, 61, 588, 1962
40.758976, -73.979362, 70, 852, 1933
32.7812, -96.801842, 56, 886, 1974
39.951656, -75.16745, 58, 848, 1990
40.441326, -79.99472, 64, 841, 1970
41.882317, -87.63044, 57, 767, 1981
41.884766, -87.630539, 50, 756, 1992
41.896442, -87.623245, 63, 725, 1986
41.881557, -87.633385, 50, 680, 1990
33.518478, -86.809769, 32, 437, 1989
31.99725, -102.077232, 24, 330, 1978
32.787579, -96.799255, 50, 686, 1985
32.78157, -96.796471, 60, 787, 1987
42.346436, -71.081512, 36, 564, 2002
29.760721, -95.366653, 56, 780, 1983
29.758791, -95.370674, 53, 762, 1987
40.705406, -74.009628, 57, 846, 1931
40.753857, -73.981133, 58, 500, 1931
34.053547, -118.25325, 55, 735, 1975
29.759146, -95.367638, 50, 1000, 1971
40.707813, -74.008972, 60, 813, 1961
37.792061, -122.40377, 52, 779, 1969
33.758976, -84.386795, 50, 770, 1991
44.976795, -93.270966, 56, 775, 1988
32.753178, -97.329712, 40, 525, 1983
28.58601, -80.650635, 40, 525, 1965
35.227383, -80.844055, 32, 462, 1990
40.713573, -74.014771, 51, 739, 1986
40.751328, -73.992638, 57, 750, 1972
29.757668, -95.369026, 55, 782, 1980
33.759415, -84.38858, 70, 883, 1976
33.757496, -84.387245, 52, 697, 1982
33.787868, -84.385155, 38, 691, 1990
32.782303, -96.796478, 50, 655, 1983
32.781994, -96.798355, 50, 645, 1982
32.783161, -96.799072, 49, 737, 1983
32.781395, -96.800652, 52, 625, 1965
41.824463, -71.411156, 26, 428, 1927
41.825329, -71.416275, 25, 329, 1993
41.8274, -71.410767, 13, 180, 1990
41.824585, -71.409966, 16, 215, 1913
41.824322, -71.413506, 18, 205, 1922
41.824715, -71.410446, 20, 285, 1985
41.824928, -71.409256, 23, 311, 1971
41.825314, -71.41011, 28, 410, 1973
38.88942, -77.035255, 3, 555, 1884
39.95425, -75.174744, 41, 572, 1987
36.098206, -80.243568, 29, 450, 1966
40.752182, -73.975014, 31, 411, 1987
29.75457, -95.372917, 53, 732, 1984
29.755501, -95.361603, 52, 725, 1982
35.228504, -80.845322, 24, 394, 1991
35.228504, -80.845322, 7, 120, 1931
40.741249, -73.987396, 50, 700, 1909
40.758003, -73.986649, 54, 745, 1972
40.764736, -73.97934, 68, 716, 1987
34.058018, -118.445091, 23, 327, 1989
40.760094, -73.985741, 52, 685, 1990
40.762291, -73.971268, 55, 682, 1993
40.752045, -73.978752, 55, 673, 1930
